"Year","TotalPopulation","YearlyChange (%)","Number","Percentof TotalPopulation"
"2024","10,140,459","1.03","1,985,923","19.58"
"2023","10,037,261","0.04","1,926,752","19.20"
"2022","10,033,281","-0.05","1,869,790","18.64"
"2021","10,038,117","-0.32","1,821,232","18.14"
"2020","10,070,627","0.86","1,777,010","17.65"
" "," "," "," "," "
"2019","9,984,795","-0.02","1,763,191","17.66"
"2018","9,987,286","0.11","1,712,438","17.15"
"2017","9,976,752","0.23","1,664,648","16.69"
"2016","9,954,117","0.20","1,617,681","16.25"
"2015","9,934,483","0.02","1,571,926","15.82"
"2014","9,932,033","0.17","1,531,387","15.42"
"2013","9,914,802","0.17","1,487,694","15.00"
"2012","9,898,289","0.15","1,443,150","14.58"
"2011","9,883,053","0.06","1,388,638","14.05"
"2010","9,877,597","-0.24","1,366,274","13.83"
" "," "," "," "," "
"2009","9,901,591","-0.46","1,343,623","13.57"
"2008","9,946,889","-0.54","1,321,021","13.28"
"2007","10,001,284","-0.35","1,291,238","12.91"
"2006","10,036,081","-0.15","1,269,443","12.65"
"2005","10,051,137","-0.04","1,255,266","12.49"
"2004","10,055,315","0.14","1,247,043","12.40"
"2003","10,041,152","0.25","1,238,574","12.33"
"2002","10,015,710","0.25","1,230,163","12.28"
"2001","9,991,120","0.39","1,226,259","12.27"
"2000","9,952,450","---","1,221,299","12.27"
" "," "," "," "," "
